postal,active_total,candidate_total,delta_total,active_bus,candidate_bus,delta_bus,active_covered_ratio,candidate_covered_ratio,delta_covered_ratio,active_state,candidate_state,active_routing_type,candidate_routing_type
018983,93.5,93.5,0.0,100.0,100.0,0.0,0.837,0.837,0.0,SCORED,SCORED,sheltered,sheltered
018984,96.2,96.2,0.0,100.0,100.0,0.0,0.905,0.905,0.0,SCORED,SCORED,sheltered,sheltered
018985,77.4,77.4,0.0,100.0,100.0,0.0,0.485,0.485,0.0,SCORED,SCORED,sheltered,sheltered
018986,69.0,69.0,0.0,100.0,100.0,0.0,0.274,0.274,0.0,SCORED,SCORED,sheltered,sheltered
018987,77.4,77.4,0.0,100.0,100.0,0.0,0.485,0.485,0.0,SCORED,SCORED,sheltered,sheltered
018988,58.8,58.8,0.0,0.0,0.0,0.0,0.471,0.471,0.0,SCORED,SCORED,sheltered,sheltered
018989,74.6,74.6,0.0,0.0,0.0,0.0,0.916,0.916,0.0,SCORED,SCORED,sheltered,sheltered
019396,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
019397,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
019959,41.3,41.3,0.0,0.0,0.0,0.0,0.074,0.074,0.0,SCORED,SCORED,sheltered,sheltered
038970,60.6,60.6,0.0,100.0,100.0,0.0,0.039,0.039,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
038971,74.0,74.0,0.0,100.0,100.0,0.0,0.351,0.351,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
038975,32.6,32.6,0.0,0.0,0.0,0.0,0.413,0.413,0.0,SCORED,SCORED,sheltered,sheltered
038980,48.4,68.4,20.0,0.0,100.0,100.0,0.484,0.484,0.0,SCORED,SCORED,sheltered,sheltered
038981,93.1,93.1,0.0,100.0,100.0,0.0,0.929,0.929,0.0,SCORED,SCORED,sheltered,sheltered
038982,64.3,64.3,0.0,100.0,100.0,0.0,0.109,0.109,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
038983,76.9,76.9,0.0,100.0,100.0,0.0,0.725,0.725,0.0,SCORED,SCORED,sheltered,sheltered
038985,97.3,97.3,0.0,100.0,100.0,0.0,0.931,0.931,0.0,SCORED,SCORED,sheltered,sheltered
038986,90.6,90.6,0.0,100.0,100.0,0.0,0.805,0.805,0.0,SCORED,SCORED,sheltered,sheltered
038987,84.3,84.3,0.0,100.0,100.0,0.0,0.9,0.9,0.0,SCORED,SCORED,sheltered,sheltered
038988,77.2,77.2,0.0,100.0,100.0,0.0,0.629,0.629,0.0,SCORED,SCORED,sheltered,sheltered
038989,71.8,72.5,0.7,96.3,100.0,3.7,0.313,0.313,0.0,SCORED,SCORED,shortest_due_to_detour,shortest_due_to_detour
039190,76.9,76.9,0.0,100.0,100.0,0.0,0.423,0.423,0.0,SCORED,SCORED,sheltered,sheltered
039192,92.9,92.9,0.0,100.0,100.0,0.0,0.823,0.823,0.0,SCORED,SCORED,sheltered,sheltered
039193,66.4,66.4,0.0,100.0,100.0,0.0,0.161,0.161,0.0,SCORED,SCORED,sheltered,sheltered
039194,65.4,65.4,0.0,100.0,100.0,0.0,0.134,0.134,0.0,SCORED,SCORED,sheltered,sheltered
039392,96.7,96.7,0.0,100.0,100.0,0.0,0.917,0.917,0.0,SCORED,SCORED,sheltered,sheltered
039393,65.0,65.0,0.0,100.0,100.0,0.0,0.175,0.175,0.0,SCORED,SCORED,sheltered,sheltered
039593,74.0,74.0,0.0,0.0,0.0,0.0,0.849,0.849,0.0,SCORED,SCORED,sheltered,sheltered
039594,60.4,60.4,0.0,0.0,0.0,0.0,0.611,0.611,0.0,SCORED,SCORED,sheltered,sheltered
039595,91.8,91.8,0.0,100.0,100.0,0.0,0.796,0.796,0.0,SCORED,SCORED,sheltered_with_bus_stop_access_connector,sheltered_with_bus_stop_access_connector
039596,71.3,71.3,0.0,100.0,100.0,0.0,0.281,0.281,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
039797,81.0,81.0,0.0,100.0,100.0,0.0,0.525,0.525,0.0,SCORED,SCORED,sheltered_with_bus_stop_access_connector,sheltered_with_bus_stop_access_connector
039799,72.0,72.0,0.0,100.0,100.0,0.0,0.3,0.3,0.0,SCORED,SCORED,sheltered,sheltered
039801,97.0,97.0,0.0,100.0,100.0,0.0,0.925,0.925,0.0,SCORED,SCORED,sheltered_with_bus_stop_access_connector,sheltered_with_bus_stop_access_connector
039802,80.5,80.5,0.0,100.0,100.0,0.0,0.631,0.631,0.0,SCORED,SCORED,sheltered,sheltered
039803,60.2,60.2,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
039805,25.9,25.9,0.0,0.0,0.0,0.0,0.437,0.437,0.0,SCORED,SCORED,sheltered,sheltered
039807,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_bus_stop_access_connector,sheltered_with_bus_stop_access_connector
040893,79.6,79.6,0.0,100.0,100.0,0.0,0.489,0.489,0.0,SCORED,SCORED,sheltered,sheltered
048416,59.0,59.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048417,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048418,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048421,96.6,96.6,0.0,100.0,100.0,0.0,0.941,0.941,0.0,SCORED,SCORED,sheltered,sheltered
048422,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048423,44.5,44.5,0.0,0.0,0.0,0.0,0.114,0.114,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048424,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_bus_stop_access_connector,sheltered_with_bus_stop_access_connector
048441,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048458,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048460,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048462,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048464,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048466,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048467,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048468,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048469,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048470,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048471,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048472,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048473,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048474,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048508,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048542,85.0,85.0,0.0,100.0,100.0,0.0,0.65,0.65,0.0,SCORED,SCORED,sheltered,sheltered
048543,95.1,95.1,0.0,100.0,100.0,0.0,0.902,0.902,0.0,SCORED,SCORED,sheltered,sheltered
048544,93.5,93.5,0.0,100.0,100.0,0.0,0.862,0.862,0.0,SCORED,SCORED,sheltered,sheltered
048545,88.5,88.5,0.0,100.0,100.0,0.0,0.737,0.737,0.0,SCORED,SCORED,sheltered,sheltered
048547,81.2,81.2,0.0,100.0,100.0,0.0,0.613,0.613,0.0,SCORED,SCORED,sheltered,sheltered
048580,81.1,81.1,0.0,100.0,100.0,0.0,0.598,0.598,0.0,SCORED,SCORED,sheltered,sheltered
048581,72.6,72.6,0.0,100.0,100.0,0.0,0.51,0.51,0.0,SCORED,SCORED,sheltered,sheltered
048582,86.2,86.2,0.0,100.0,100.0,0.0,0.721,0.721,0.0,SCORED,SCORED,sheltered,sheltered
048583,90.6,90.6,0.0,100.0,100.0,0.0,0.815,0.815,0.0,SCORED,SCORED,sheltered,sheltered
048616,48.4,48.4,0.0,0.0,0.0,0.0,0.225,0.225,0.0,SCORED,SCORED,sheltered,sheltered
048617,77.1,77.6,0.5,97.5,100.0,2.5,0.404,0.404,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048618,77.6,77.6,0.0,0.0,0.0,0.0,0.965,0.965,0.0,SCORED,SCORED,sheltered,sheltered
048619,83.3,83.3,0.0,100.0,100.0,0.0,0.527,0.527,0.0,SCORED,SCORED,sheltered,sheltered
048621,77.2,77.2,0.0,0.0,0.0,0.0,0.956,0.956,0.0,SCORED,SCORED,sheltered,sheltered
048622,83.3,83.3,0.0,100.0,100.0,0.0,0.576,0.576,0.0,SCORED,SCORED,sheltered_with_bus_stop_access_connector,sheltered_with_bus_stop_access_connector
048623,80.0,80.0,0.0,100.0,100.0,0.0,0.481,0.481,0.0,SCORED,SCORED,sheltered_with_bus_stop_access_connector,sheltered_with_bus_stop_access_connector
048624,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048625,73.4,73.4,0.0,100.0,100.0,0.0,0.298,0.298,0.0,SCORED,SCORED,sheltered,sheltered
048658,70.1,70.1,0.0,100.0,100.0,0.0,0.38,0.38,0.0,SCORED,SCORED,sheltered,sheltered
048659,77.0,77.0,0.0,100.0,100.0,0.0,0.48,0.48,0.0,SCORED,SCORED,sheltered,sheltered
048660,79.4,79.4,0.0,100.0,100.0,0.0,0.535,0.535,0.0,SCORED,SCORED,sheltered,sheltered
048671,93.8,93.8,0.0,100.0,100.0,0.0,0.844,0.844,0.0,SCORED,SCORED,sheltered,sheltered
048692,61.9,61.9,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048693,61.7,61.7,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048694,61.5,61.5,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048695,64.5,64.5,0.0,100.0,100.0,0.0,0.134,0.134,0.0,SCORED,SCORED,sheltered,sheltered
048696,39.6,60.0,20.4,0.0,100.0,100.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048761,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048762,90.3,90.3,0.0,100.0,100.0,0.0,0.758,0.758,0.0,SCORED,SCORED,sheltered,sheltered
048763,90.6,90.6,0.0,100.0,100.0,0.0,0.765,0.765,0.0,SCORED,SCORED,sheltered,sheltered
048764,90.3,90.3,0.0,100.0,100.0,0.0,0.758,0.758,0.0,SCORED,SCORED,sheltered,sheltered
048765,90.3,90.3,0.0,100.0,100.0,0.0,0.758,0.758,0.0,SCORED,SCORED,sheltered,sheltered
048766,90.3,90.3,0.0,100.0,100.0,0.0,0.758,0.758,0.0,SCORED,SCORED,sheltered,sheltered
048767,90.3,90.3,0.0,100.0,100.0,0.0,0.758,0.758,0.0,SCORED,SCORED,sheltered,sheltered
048768,90.3,90.3,0.0,100.0,100.0,0.0,0.758,0.758,0.0,SCORED,SCORED,sheltered,sheltered
048769,90.3,90.3,0.0,100.0,100.0,0.0,0.758,0.758,0.0,SCORED,SCORED,sheltered,sheltered
048770,90.3,90.3,0.0,100.0,100.0,0.0,0.758,0.758,0.0,SCORED,SCORED,sheltered,sheltered
048772,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048773,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048774,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048775,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048776,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048777,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048778,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048779,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048780,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048781,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048782,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048815,60.6,60.6,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048816,60.6,60.6,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered,sheltered
048817,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048818,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048819,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048820,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048821,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
048822,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,SCORED,SCORED,sheltered_with_mrt_lrt_exit_access_connector,sheltered_with_mrt_lrt_exit_access_connector
